part_id,group,quantity,material,process,geometry_authority,step_file,drawing_file,candidate_purchase_status,purchase_status,order_authorized,cost_status,material_design_basis,supplier_return_requirements,receiving_inspection,qualification_before_use,release_blocker
flyer_peek_guide_bell,wire_path,1,natural unfilled PEEK; exact resin grade and lot certification TBD,5-axis CNC or supplier-approved molded-and-finish-machined process,step_exact,out/custom/successor/step/flyer_peek_guide_bell.step,output/pdf/successor_custom_parts_rfq.pdf,RFQ_READY,RFQ_READY,FALSE,TBD,"Natural, virgin, unfilled PEEK stock shape. Supplier must identify the stock-shape manufacturer, product/grade, filler declaration and traceable lot; no recycled, glass-, carbon-, PTFE- or bearing-filled substitution.","Confirm the supplied STEP is the exact shape authority and identify any feature that cannot be machined without changing it.; Return the stock-shape manufacturer, product/grade, filler declaration, lot-certificate availability and proposed machining process.; Propose an achievable wire-contact surface finish and the inspection method used to verify burr-free polished channels.; Quote a first-article dimensional inspection report against the STEP.; State how the continuous ID0.60 passage, R3.25 root elbow and integral exit bell will be produced and inspected without closing the bore.","Verify the certificate and traceable lot identify natural virgin unfilled PEEK with no filler substitution.; Review the supplier first-article report and independently inspect all retention interfaces and wire-contact passages against the STEP.; Inspect every wire-contact edge and passage for burrs, chips, closure, bridging and polish damage before assembly.; Verify the continuous ID0.60 passage is open end-to-end and inspect its root elbow and exit bell with the supplier's stated method.","Pass the M2 insert pull coupon, guide-to-arm fit check, wire abrasion, dielectric, varnish compatibility and 60 N hot-load coupons.; Pass the installed flexible-wire route and hot 300 RPM endurance gates.","RFQ submission only: supplier quote/returned DFM, receiving inspection and all physical qualification remain open; no order or production use is authorized"
stator_short_leadin_cap_front,wire_path,1,natural unfilled PEEK; exact resin grade and lot certification TBD,CNC machine and polish all open wire-contact channels,step_exact,out/custom/successor/step/stator_short_leadin_cap_front.step,output/pdf/successor_custom_parts_rfq.pdf,RFQ_READY,RFQ_READY,FALSE,TBD,"Natural, virgin, unfilled PEEK stock shape. Supplier must identify the stock-shape manufacturer, product/grade, filler declaration and traceable lot; no recycled, glass-, carbon-, PTFE- or bearing-filled substitution.","Confirm the supplied STEP is the exact shape authority and identify any feature that cannot be machined without changing it.; Return the stock-shape manufacturer, product/grade, filler declaration, lot-certificate availability and proposed machining process.; Propose an achievable wire-contact surface finish and the inspection method used to verify burr-free polished channels.; Quote a first-article dimensional inspection report against the STEP.; Quote the front and rear caps as a matched pair from one material lot; preserve all 24 two-branch short-leadin sectors (48 open branch grooves) on each cap.","Verify the certificate and traceable lot identify natural virgin unfilled PEEK with no filler substitution.; Review the supplier first-article report and independently inspect all retention interfaces and wire-contact passages against the STEP.; Inspect every wire-contact edge and passage for burrs, chips, closure, bridging and polish damage before assembly.; Verify all 24 two-branch short-leadin sectors (48 open branch grooves) per cap, matched front/rear identity and the shared through-fastener interfaces.","Pass paired-cap fit, M2 retention, wire abrasion, dielectric and hot-varnish coupons.; Pass the flexible-conductor launch matrix before winding.","RFQ submission only: supplier quote/returned DFM, receiving inspection and all physical qualification remain open; no order or production use is authorized"
stator_short_leadin_cap_rear,wire_path,1,natural unfilled PEEK; exact resin grade and lot certification TBD,CNC machine and polish all open wire-contact channels,step_exact,out/custom/successor/step/stator_short_leadin_cap_rear.step,output/pdf/successor_custom_parts_rfq.pdf,RFQ_READY,RFQ_READY,FALSE,TBD,"Natural, virgin, unfilled PEEK stock shape. Supplier must identify the stock-shape manufacturer, product/grade, filler declaration and traceable lot; no recycled, glass-, carbon-, PTFE- or bearing-filled substitution.","Confirm the supplied STEP is the exact shape authority and identify any feature that cannot be machined without changing it.; Return the stock-shape manufacturer, product/grade, filler declaration, lot-certificate availability and proposed machining process.; Propose an achievable wire-contact surface finish and the inspection method used to verify burr-free polished channels.; Quote a first-article dimensional inspection report against the STEP.; Quote the front and rear caps as a matched pair from one material lot; preserve all 24 two-branch short-leadin sectors (48 open branch grooves) on each cap.","Verify the certificate and traceable lot identify natural virgin unfilled PEEK with no filler substitution.; Review the supplier first-article report and independently inspect all retention interfaces and wire-contact passages against the STEP.; Inspect every wire-contact edge and passage for burrs, chips, closure, bridging and polish damage before assembly.; Verify all 24 two-branch short-leadin sectors (48 open branch grooves) per cap, matched front/rear identity and the shared through-fastener interfaces.","Pass paired-cap fit, M2 retention, wire abrasion, dielectric and hot-varnish coupons.; Pass the flexible-conductor launch matrix before winding.","RFQ submission only: supplier quote/returned DFM, receiving inspection and all physical qualification remain open; no order or production use is authorized"
active_sector_peek_guide_front,wire_path,1,natural unfilled PEEK; exact resin grade and lot certification TBD,"CNC machine open bowls, keys and heat-insert pilots; polish wire surfaces",step_exact,out/custom/successor/step/active_sector_peek_guide_front.step,output/pdf/successor_custom_parts_rfq.pdf,RFQ_READY,RFQ_READY,FALSE,TBD,"Natural, virgin, unfilled PEEK stock shape. Supplier must identify the stock-shape manufacturer, product/grade, filler declaration and traceable lot; no recycled, glass-, carbon-, PTFE- or bearing-filled substitution.","Confirm the supplied STEP is the exact shape authority and identify any feature that cannot be machined without changing it.; Return the stock-shape manufacturer, product/grade, filler declaration, lot-certificate availability and proposed machining process.; Propose an achievable wire-contact surface finish and the inspection method used to verify burr-free polished channels.; Quote a first-article dimensional inspection report against the STEP.; Quote the front and rear guides as a matched pair from one material lot; preserve the open bowls, datum keys and heat-insert pilots.","Verify the certificate and traceable lot identify natural virgin unfilled PEEK with no filler substitution.; Review the supplier first-article report and independently inspect all retention interfaces and wire-contact passages against the STEP.; Inspect every wire-contact edge and passage for burrs, chips, closure, bridging and polish damage before assembly.; Verify front/rear identity, all datum keys, open bowls and M3 insert pilots against the STEP before installing inserts.","Pass guide-key fit, all four M3 insert pull tests, wire abrasion and flexible-conductor capture coupons.; Pass the full launch matrix and hot 300 RPM endurance gates.","RFQ submission only: supplier quote/returned DFM, receiving inspection and all physical qualification remain open; no order or production use is authorized"
active_sector_peek_guide_rear,wire_path,1,natural unfilled PEEK; exact resin grade and lot certification TBD,"CNC machine open bowls, keys and heat-insert pilots; polish wire surfaces",step_exact,out/custom/successor/step/active_sector_peek_guide_rear.step,output/pdf/successor_custom_parts_rfq.pdf,RFQ_READY,RFQ_READY,FALSE,TBD,"Natural, virgin, unfilled PEEK stock shape. Supplier must identify the stock-shape manufacturer, product/grade, filler declaration and traceable lot; no recycled, glass-, carbon-, PTFE- or bearing-filled substitution.","Confirm the supplied STEP is the exact shape authority and identify any feature that cannot be machined without changing it.; Return the stock-shape manufacturer, product/grade, filler declaration, lot-certificate availability and proposed machining process.; Propose an achievable wire-contact surface finish and the inspection method used to verify burr-free polished channels.; Quote a first-article dimensional inspection report against the STEP.; Quote the front and rear guides as a matched pair from one material lot; preserve the open bowls, datum keys and heat-insert pilots.","Verify the certificate and traceable lot identify natural virgin unfilled PEEK with no filler substitution.; Review the supplier first-article report and independently inspect all retention interfaces and wire-contact passages against the STEP.; Inspect every wire-contact edge and passage for burrs, chips, closure, bridging and polish damage before assembly.; Verify front/rear identity, all datum keys, open bowls and M3 insert pilots against the STEP before installing inserts.","Pass guide-key fit, all four M3 insert pull tests, wire abrasion and flexible-conductor capture coupons.; Pass the full launch matrix and hot 300 RPM endurance gates.","RFQ submission only: supplier quote/returned DFM, receiving inspection and all physical qualification remain open; no order or production use is authorized"
active_sector_aluminum_yoke,structure,1,6061-T6 aluminum; no equivalent without written approval,CNC mill as one solid; preserve keyed tower and guide datums,step_exact,out/custom/successor/step/active_sector_aluminum_yoke.step,output/pdf/successor_custom_parts_rfq.pdf,RFQ_READY,RFQ_READY,FALSE,TBD,6061-T6 aluminum; no equivalent is pre-authorized.,"Quote one-piece CNC machining from certified 6061-T6 aluminum; no alloy or temper substitution without written approval.; Confirm all keyed guide/tower datums and M3/M4 clearance-hole axes are included and return a proposed dimensional inspection plan.; State achievable tolerance, datum-face flatness and surface-treatment proposal; keep locating and mating faces free of dimensional buildup.; Quote a first-article dimensional inspection report against the STEP.","Verify the material certificate states 6061-T6 and matches the serialized first article.; Review the supplier first-article report and independently inspect the tower keys, guide seats, datum faces and every M3/M4 clearance hole.; Confirm the yoke is one solid with no plugged, bonded or separately fastened structural substitutions.","Re-run the exact rigid sweep with the received-part measurements.; Pass guide fit, flexible-conductor, launch-matrix and physical-load qualification before production use.","RFQ submission only: supplier quote/returned DFM, receiving inspection and all physical qualification remain open; no order or production use is authorized"
balance_b777_rear_1_rear_left,balance,1,ASTM B777 tungsten heavy alloy at 18.49 g/cm3 design density; class and certified lot TBD,precision turn/mill annular trim to solved length; weigh and serialize,step_exact,out/custom/successor/step/balance_b777_rear_1_rear_left.step,output/pdf/successor_custom_parts_rfq.pdf,RFQ_READY,RFQ_READY,FALSE,TBD,ASTM B777 tungsten heavy alloy at 18.49 g/cm3 (the immutable digital balance basis); grade/class and lot certificate must be returned by the supplier.,"Quote each serialized STEP separately in ASTM B777 tungsten heavy alloy at the 18.49 g/cm3 balance-design density.; State ASTM B777 class, certified density, chemistry, traceable lot, machining process and achievable dimensional tolerance.; Return the predicted finished mass for each serial and quote an actual mass record with the finished parts.; Flag any proposed density other than 18.49 g/cm3; it requires a new balance solve and six new STEP files before order approval.","Verify the ASTM B777 certificate, class, chemistry, traceable lot and certified density before accepting the parts.; Measure and record each serial's OD, ID, axial length and finished mass.; Reject mixed-up serials, rounded bearing faces, burrs or density drift until the balance solution is regenerated and reviewed.",Install all six measured serials and pass the final G2.5 balance check.; Pass all rear/front retention pull tests and hot 300 RPM endurance.,"RFQ submission only: supplier quote/returned DFM, receiving inspection and all physical qualification remain open; no order or production use is authorized"
balance_b777_rear_2_rear_right,balance,1,ASTM B777 tungsten heavy alloy at 18.49 g/cm3 design density; class and certified lot TBD,precision turn/mill annular trim to solved length; weigh and serialize,step_exact,out/custom/successor/step/balance_b777_rear_2_rear_right.step,output/pdf/successor_custom_parts_rfq.pdf,RFQ_READY,RFQ_READY,FALSE,TBD,ASTM B777 tungsten heavy alloy at 18.49 g/cm3 (the immutable digital balance basis); grade/class and lot certificate must be returned by the supplier.,"Quote each serialized STEP separately in ASTM B777 tungsten heavy alloy at the 18.49 g/cm3 balance-design density.; State ASTM B777 class, certified density, chemistry, traceable lot, machining process and achievable dimensional tolerance.; Return the predicted finished mass for each serial and quote an actual mass record with the finished parts.; Flag any proposed density other than 18.49 g/cm3; it requires a new balance solve and six new STEP files before order approval.","Verify the ASTM B777 certificate, class, chemistry, traceable lot and certified density before accepting the parts.; Measure and record each serial's OD, ID, axial length and finished mass.; Reject mixed-up serials, rounded bearing faces, burrs or density drift until the balance solution is regenerated and reviewed.",Install all six measured serials and pass the final G2.5 balance check.; Pass all rear/front retention pull tests and hot 300 RPM endurance.,"RFQ submission only: supplier quote/returned DFM, receiving inspection and all physical qualification remain open; no order or production use is authorized"
balance_b777_rear_3_front_left,balance,1,ASTM B777 tungsten heavy alloy at 18.49 g/cm3 design density; class and certified lot TBD,precision turn/mill annular trim to solved length; weigh and serialize,step_exact,out/custom/successor/step/balance_b777_rear_3_front_left.step,output/pdf/successor_custom_parts_rfq.pdf,RFQ_READY,RFQ_READY,FALSE,TBD,ASTM B777 tungsten heavy alloy at 18.49 g/cm3 (the immutable digital balance basis); grade/class and lot certificate must be returned by the supplier.,"Quote each serialized STEP separately in ASTM B777 tungsten heavy alloy at the 18.49 g/cm3 balance-design density.; State ASTM B777 class, certified density, chemistry, traceable lot, machining process and achievable dimensional tolerance.; Return the predicted finished mass for each serial and quote an actual mass record with the finished parts.; Flag any proposed density other than 18.49 g/cm3; it requires a new balance solve and six new STEP files before order approval.","Verify the ASTM B777 certificate, class, chemistry, traceable lot and certified density before accepting the parts.; Measure and record each serial's OD, ID, axial length and finished mass.; Reject mixed-up serials, rounded bearing faces, burrs or density drift until the balance solution is regenerated and reviewed.",Install all six measured serials and pass the final G2.5 balance check.; Pass all rear/front retention pull tests and hot 300 RPM endurance.,"RFQ submission only: supplier quote/returned DFM, receiving inspection and all physical qualification remain open; no order or production use is authorized"
balance_b777_rear_4_front_right,balance,1,ASTM B777 tungsten heavy alloy at 18.49 g/cm3 design density; class and certified lot TBD,precision turn/mill annular trim to solved length; weigh and serialize,step_exact,out/custom/successor/step/balance_b777_rear_4_front_right.step,output/pdf/successor_custom_parts_rfq.pdf,RFQ_READY,RFQ_READY,FALSE,TBD,ASTM B777 tungsten heavy alloy at 18.49 g/cm3 (the immutable digital balance basis); grade/class and lot certificate must be returned by the supplier.,"Quote each serialized STEP separately in ASTM B777 tungsten heavy alloy at the 18.49 g/cm3 balance-design density.; State ASTM B777 class, certified density, chemistry, traceable lot, machining process and achievable dimensional tolerance.; Return the predicted finished mass for each serial and quote an actual mass record with the finished parts.; Flag any proposed density other than 18.49 g/cm3; it requires a new balance solve and six new STEP files before order approval.","Verify the ASTM B777 certificate, class, chemistry, traceable lot and certified density before accepting the parts.; Measure and record each serial's OD, ID, axial length and finished mass.; Reject mixed-up serials, rounded bearing faces, burrs or density drift until the balance solution is regenerated and reviewed.",Install all six measured serials and pass the final G2.5 balance check.; Pass all rear/front retention pull tests and hot 300 RPM endurance.,"RFQ submission only: supplier quote/returned DFM, receiving inspection and all physical qualification remain open; no order or production use is authorized"
