id,class,scope,category,description,design_status,purchase_status,authorization_status,rfq_submission_status,order_authorized,production_authorized,required_qty,spare_qty,pack_qty,packages_to_order,order_qty,uom,supplier,supplier_sku,receiving_contract_json,checkout_condition
kit-m0-m1-1-cl42t-s05-v41,cots,machine,motion,M0/M1 closed-loop NEMA17 motor driver and cable kits,selected,cart_ready,order_ready,,,,2,0,1,2,2,each,StepperOnline,1-CL42T-S05-V41,{},
driver-m0-m1-cl42t,electronics,excluded,electronics,Separate closed-loop stepper drivers for M0 and M1,not_applicable,excluded,excluded,,,,0,0,1,0,0,each,,,{},
motor-m2-leadshine-cs-m21708,cots,machine,motion,Leadshine CS-M21708 M2 NEMA17 motor with 1000-line encoder,selected,cart_ready,order_ready,,,,1,0,1,1,1,each,Leadshine,CS-M21708,{},
driver-m2-leadshine-cs-d508-conditional,electronics,machine,electronics,"Selected Leadshine CS-D508 closed-loop M2 driver; hardware order-ready, production current configuration remains a commissioning gate",selected,cart_ready,order_ready,,,,1,0,1,1,1,each,Leadshine,CS-D508,"{""commissioning_supply_vdc"":36.0,""encoder_lines"":1000,""exact_model"":""CS-D508"",""input_voltage_vdc"":{""maximum"":50.0,""minimum"":20.0},""production_configuration_requires_manufacturer_or_dyno_proof"":true,""software_peak_current_A"":{""candidate_lower"":3.5,""candidate_upper"":3.6,""released"":null}}",
linear-rail-mgn12h-150,cots,machine,motion,150 mm MGN12 rail with MGN12H block,selected,cart_ready,order_ready,,,,2,0,1,2,2,assembly,ABRA Electronics,MP-LR12H-150,{},
t8-antibacklash-flange-nut,cots,machine,motion,T8x8 four-start POM anti-backlash flange nut,selected,cart_ready,order_ready,,,,1,0,1,1,1,each,ZYLtech Engineering,HW-SC-SMALLFL-P / T8x8 option,"{""configured_installed_length_max_mm"":22.4,""inspection"":""Confirm both 15 mm Delrin halves, main flange OD22 x 4 with four M3 holes on PCD16, secondary flange OD14 x 4, free sliding engagement on the released screw, and backlash removal while the complete installed set remains within the 22.4 mm reserved axial envelope."",""required_option"":""T8x8 (2 mm pitch, 4-start, 8 mm lead)""}",
t8x8-leadscrew-188-journal30,custom,machine,motion,"T8x8 four-start lead screw, 188 mm, native 30 mm smooth diameter-8 journal",selected,rfq_ready,order_ready,,,,1,0,1,1,1,each,,,{},
beam-coupling-5x8-24x32,cots,machine,motion,"Ruland 8 mm to 5 mm four-beam clamp coupling, OD22.2 x 27 mm",selected,cart_ready,order_ready,,,,2,0,1,2,2,each,Ruland Manufacturing,PCMR22-8-5-A,{},
bearing-608zz,cots,machine,bearing,608ZZ 8x22x7 bearing,selected,cart_ready,order_ready,,,,2,1,1,3,3,each,Bearings Direct,S608-ZZ,{},
bearing-6001zz,cots,machine,bearing,6001ZZ 12x28x8 bearing,selected,cart_ready,order_ready,,,,2,0,1,2,2,each,Bearings Direct,6001-ZZ,{},
bearing-623zz,cots,machine,bearing,623ZZ 3x10x4 dancer bearing,selected,cart_ready,order_ready,,,,1,0,1,1,1,each,Bearings Direct,623-ZZ,{},
bearing-688-2rs,cots,machine,bearing,688-2RS 8x16x5 fixed-end bearing,selected,cart_ready,order_ready,,,,1,0,1,1,1,each,Bearings Direct,688-2RS,{},
retaining-ring-din472-16,cots,machine,retention,DIN 472 internal retaining ring for 16 mm bore,selected,cart_ready,order_ready,,,,1,1,5,1,5,each,McMaster-Carr,98394A431,{},
retaining-ring-din472-22,cots,machine,retention,DIN 472 internal retaining ring for 22 mm bore,selected,cart_ready,order_ready,,,,2,1,5,1,5,each,McMaster-Carr,98394A440,{},
retaining-ring-din472-28,cots,machine,retention,DIN 472 internal retaining ring for 28 mm bore,selected,cart_ready,order_ready,,,,1,1,1,2,2,each,McMaster-Carr,98394A447,{},
bearing-retention-custom-set,custom,machine,retention,"Custom M0, M1, and M2 bearing race spacers, collar, and shim set",selected,rfq_ready,order_ready,,,,10,0,1,10,10,piece,,,{},
motor-pulley-nbk-p30-3gt-blp-6c-5-bnw-conditional,custom,machine,motion,NBK P30-3GT-BLP-6C-5 stock split-clamp pulley with conditional BNW two-set-screw machining,selected,rfq_ready,conditional,,,,1,0,1,1,1,each,NBK configured-machining RFQ,P30-3GT-BLP-6C-5-BNW,{},
timing-belt-210-3gt-6,cots,machine,motion,"210 mm pitch-length 3GT timing belt, 6 mm wide",selected,cart_ready,order_ready,,,,1,1,1,2,2,each,MISUMI US,210-3GT-6,{},
spindle-er11-c8-100l,tooling,machine,workholding,Ounuowei C8-ER11A-100L straight-shank collet holder,selected,rfq_ready,order_ready,,,,1,0,1,1,1,each,,,{},
er11-metric-collet-set-1-7,tooling,machine,workholding,"MariTool ER11 13-piece metric collet set, 1-7 mm by 0.5 mm",selected,cart_ready,order_ready,,,,1,0,1,1,1,set,MariTool,ER11-13PIECE,{},
m1-spindle-custom-d8-c8-100l,tooling,machine,workholding,Custom 4140 prehard socket holder for the exact 8.00 mm shaft endpoint,selected,rfq_ready,order_ready,,,,1,0,1,1,1,each,,,{},
extrusion-hfs5-2020-cut-set,raw_stock,machine,structure,"2020 slot-6 extrusion cut set: 2x450, 3x180, 2x280, 2x235, 1x305 mm; 2775 mm total",selected,cart_ready,order_ready,,,,10,0,1,10,10,cut_length,MISUMI,HFS5-2020-450 x2; HFS5-2020-180 x3; HFS5-2020-280 x2; HFS5-2020-235 x2; HFS5-2020-305 x1,{},
foot-stack-elesa-432001-wurth-970180581,cots,excluded,structure,Foot-stack interface evidence; ordering is carried by the three exact hardware rows,selected,excluded,excluded,,,,0,0,1,0,0,stack,,,{},
flyer-shaft-stock-d10-rev-d,custom,machine,structure,"L79.00 hollow flyer shaft with full OD10/ID6 stock-pulley seat, ID6-to-ID9 transition, OD12 main span and two arm flats",selected,rfq_ready,order_ready,,,,1,0,1,1,1,each,,,{},
carriage-plate-mic6-0p250,sendcutsend,machine,fabricated,0.250 inch MIC6 carriage plate,selected,upload_ready,order_ready,,,,1,0,1,1,1,each,SendCutSend,ALUMIC6-250,{},
endstop-omron-d2f-01l2-d3,cots,machine,sensor,Omron D2F-01L2-D3 hinge-roller microswitch with solder terminals,selected,cart_ready,order_ready,,,,1,1,1,2,2,each,DigiKey,Z4701-ND,{},
fixed-ceramic-eyelet-id4-od9,custom,machine,wire_path,"Drawing-controlled polished alumina fixed guide, ID4 x OD9 x 3 mm",selected,rfq_ready,order_ready,,,,1,1,1,2,2,each,,,{},
flyer-guide-peek-one-piece,custom,machine,wire_path,One-piece natural-unfilled-PEEK flyer guide with integral polished exit bell,selected,rfq_ready,blocked,ready,False,False,1,0,1,1,1,each,,,{},
stator-short-leadin-peek-cap-pair,custom,machine,wire_path,"Front and rear natural-unfilled-PEEK stator caps, each with 24 two-branch short-leadin sectors (48 open branch grooves per cap)",selected,rfq_ready,blocked,ready,False,False,2,0,1,2,2,each,,,{},
active-sector-peek-guide-pair,custom,machine,wire_path,"Two M0-following, M1-static natural-unfilled-PEEK active-sector guides",selected,rfq_ready,blocked,ready,False,False,2,0,1,2,2,each,,,{},
active-sector-aluminum-yoke,custom,machine,structure,One-solid keyed aluminum carriage yoke for the active-sector guides,selected,rfq_ready,blocked,ready,False,False,1,0,1,1,1,each,,,{},
flyer-pulley-nbk-p30-3gt-blp-6c-10,cots,machine,motion,"Stock NBK 30T 3GT backlash-less flyer pulley, 6 mm belt, D10 split-clamp bore",selected,cart_ready,blocked,,,,1,0,1,1,1,each,NBK,P30-3GT-BLP-6C-10,"{""axial_j_kgm2"":3e-06,""bore_mm"":10.0,""clamp_torque_nm"":0.5,""mass_g"":28.0,""part_number"":""P30-3GT-BLP-6C-10"",""source_step_sha256"":""780110e1d59a988661f5ae80e9ebbe5d2eb324b9037d33a481809c939fa4c9f1"",""supplied_clamp_bolt"":""M2""}","Confirm the current delivered price, exact-line fulfillment, and destination shipping at checkout; cart_ready is not order or motion authorization."
flyer-balance-b777-six-trim-set,custom,machine,balance,Six serialized ASTM-B777 annular flyer-balance trims: four rear stacks plus two front trims,selected,rfq_ready,blocked,ready,False,False,6,0,1,6,6,each,,,"{""density_substitution_requires_new_balance_solve"":true,""design_density_g_cm3"":18.49,""required_records"":[""ASTM B777 class and lot certificate"",""certified density"",""OD, ID and axial length per serial"",""finished mass per serial""],""required_serial_count"":6}",
shaft-wrap-sleeve-default-d4,tooling,job,wire_path,Default-job seamless polished shaft-wrap sleeve for nominal 4 mm shaft,selected,rfq_ready,order_ready,,,,1,1,1,2,2,each,,,{},
default-magnet-wire-32snsp125,consumable,job,winding_material,Remington 32SNSP.125 32 AWG single-build wire; 0.22352 mm supplier nominal finished OD; measured job input must be 0.220-0.235 mm,selected,cart_ready,order_ready,,,,1,0,1,1,1,2_oz_spool,Remington Industries,32SNSP.125,"{""accepted_conservative_measured_finished_diameter_mm"":{""maximum"":0.235,""minimum"":0.22},""default_simulation_finished_diameter_mm"":0.22352,""inspection"":""Accept this 50-turn job only when the conservative measured finished OD is 0.220-0.235 mm. Regenerate packing, winding plan, settings, packed routes, capture, continuous audit, and player from the measured value before hardware motion."",""measurement_rule"":""Measure finished OD at no fewer than five separated locations with a suitable calibrated wire micrometer and use the conservative maximum including instrument uncertainty as the job input."",""regeneration_command"":"".venv/Scripts/python.exe cad/job_artifacts.py --wire-measured <wire_max_mm> --liner-measured <liner_max_mm>"",""supplier_nominal_finished_diameter_in"":0.0088,""supplier_nominal_finished_diameter_mm"":0.22352}",
